type,word,industry,added_at,added_by_run_id
domain,Paralegal,legal,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Courier,logistics,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Mortgage,real_estate,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Annuity,insurance,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Overtime,hr_payroll,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Scaffold,construction,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Barcode,retail_ecommerce,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Valet,hospitality,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Homework,education,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Kennel,veterinary,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST
domain,Move,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Crew,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Truck,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Packing,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Unpacking,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Storage,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Inventory,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Estimate,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Booking,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Dispatch,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Route,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Mileage,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Warehouse,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Crate,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Carton,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Padding,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Deposit,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Damage,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Reimbursement,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Elevator,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Stairs,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Haul,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Relocation,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Overnight,moving_relocation_services,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Locker,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Booth,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Kiosk,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Yard,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Bay,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Post,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Outpost,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Plaza,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Harbor,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Tower,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Shelf,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
function,Roster,,2026-08-19T00:21:34.622833+09:00,QA-20260819-002024-KST
domain,Shoot,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Album,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Retouching,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Watermark,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Proof,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Gallery,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Backdrop,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Portfolio,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Package,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Rental,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Lighting,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Editing,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Print,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Delivery,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Session,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Booking,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Deposit,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Contract,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,License,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Client,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Location,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Wardrobe,photography_services,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Inbox,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Alert,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Chart,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Bin,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Passport,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Lobby,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Ticker,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Line,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Window,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
function,Roll,,2026-08-19T12:18:04.119897+09:00,RUN-20260819-121626-KST
domain,Ceremony,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Reception,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Timeline,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Seating,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Invitation,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Florist,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Photographer,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Venue,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Rehearsal,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Officiant,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Favor,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Toast,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Bouquet,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Catering,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Guestlist,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Honeymoon,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Invite,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Vow,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Registrar,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Cake,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Decor,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
domain,Aisle,wedding_planning_services,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Report,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Log,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Form,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Card,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Sheet,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Check,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Score,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Note,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Tag,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
function,Profile,,2026-08-19T13:14:22.608445+09:00,RUN-20260819-131242-KST
